AAB	Abelag Aviation - Belgium	ABG
SEQ	Sky Eyes - Thailand	SKY EYES
SER	Aero California - Mexico	AEROCALIFORNIA
SES	Servicio Aéreo Saltillo - Mexico	SERVISAL
SET	SAETA - Ecuador	SAETA
SEU	XL Airways France - France	STARWAY
SEV	Serair Transworld Press - Spain	CARGOPRESS
SEY	Air Seychelles - Seychelles	SEYCHELLES
SFA	SEFA - France	SEFA
SFC	Shuswap Flight Centre - Canada	SHUSWAP
SFE	Sefofane Air Charters - Botswana	SEFOFANE
SFF	Safewings Aviation Company - United States	SWIFTWING
SFG	Sun Freight Logistics - Thailand	AERO GULF
SFJ	Star Flyer - Japan	STARFLYER
SFL	Southflight Aviation - New Zealand	SOUTHFLIGHT
SFM	A-Safar Air Services - Nigeria	AIR SAFAR
SFN	Safiran Airlines - Iran	SAFIRAN
SFP	Safe Air - Pakistan	SAFE AIR
SFR	Safair - South Africa	SAFAAIR
SFS	Southern Frontier Air Transport - Canada	SOUTHERN FRONTIER
SFT	Skyfreight - United States	SKYFREIGHT
SFU	Solent Flight - United Kingdom	SAINTS
SFX	S.K. Logistics - United States	SWAMP FOX
SFY	Gulf Flite Center - United States	SKY FLITE
SGA	Air Saigon - Vietnam	AIR SAIGON
SGB	"Sky King, Inc." - United States	SONGBIRD
SGC	SGC Aviation - Austria	SAINT GEORGE
SGC	Southern Right Air Charter - South Africa	SOUTHERNRIGHT
SGD	Sky Gate International Aviation - Kyrgyzstan	AIR BISHKEK
SGF	STAC Swiss Government Flights - Switzerland	STAC
SGH	Servisair - United Kingdom	SERVISAIR
SGI	Servicios Aéreos Agrícolas - Chile	SERAGRI
SGK	Skyward Aviation - Canada	SKYWARD
SGM	Sky Aircraft Service - Netherlands	SIGMA
SGN	Siam GA - Thailand	SIAM
SGP	Sagolair Transportes Ejecutivos - Spain	SAGOLAIR
SGR	SkyGreece Airlines - Greece	SKYGREECE
SGS	Saskatchewan Government Executive Air Service - Canada	SASKATCHEWAN
SGT	Skygate - Netherlands	SKYGATE
SGU	Samgau - Kazakhstan	RAUSHAN
SGV	Aerosegovia - Nicaragua	SEGOVIA
SGY	Skagway Air Service - United States	SKAGWAY AIR
SHA	Shree Airlines - Nepal	SHREEAIR
SHB	Shabair - Democratic Republic of the Congo	SHABAIR
SHE	Shell Aircraft - United Kingdom	SHELL
SHG	Shoprite Group - United Kingdom	SHOP AIR
SHI	Seoul Air International - Republic of Korea	SEOUL AIR
SHJ	Sharjah Ruler's Flight - United Arab Emirates	SHARJAH
SHL	Samson Aviation - United Kingdom	SAMSON
SHM	Sheltam Aviation - South Africa	SHELTAM
SHN	Shaheen Airport Services - Pakistan	SUGAR ALFA
SHP	Service Aerien Francais - France	SAF
SHQ	Shanghai Airlines Cargo - China	SHANGHAI CARGO/上货航
SHR	Shooter Air Courier - Canada	SHOOTER
SHS	Shura Air Transport Services - Ethiopia	SHURA AIR
SHT	British Airways Shuttle - United Kingdom	SHUTTLE
SHU	Sakhalinskie Aviatrassy?(SAT) - Russia	SATAIR
SHV	Shavano Air - United States	SHAVANO
SHW	Shawnee Airline - United States	SHAWNEE
SHX	Slim Aviation Services - Nigeria	SLIM AIR
SHY	Sky Airlines - Turkey	ANTALYA BIRD
SIA	Singapore Airlines - Singapore	SINGAPORE
SIB	Sibaviatrans - Russia	SIBAVIA
SIE	Sierra Express - United States	SEREX
SIH	Skynet Airlines - Ireland	BLUEJET
SII	Aero Servicios Ejecutivos Internacionales - Mexico	ASEISA
SIL	Servicios Aeronáuticos Integrales - Mexico	SERVICIOS INTEGRALES
SIO	Sirio - Italy	SIRIO
SIP	Air Spirit - United States	AIR SPIRIT
SIQ	National Center for Atmospheric Research - United States	SCIENCE QUEST
SIR	Salair - United States	SALAIR
SIV	Slovenian Armed Forces - Slovenia	SLOVENIAN
SIW	Sirio Executive - Italy	SIRIO EXECUTIVE
SIX	Sixt Rent A Car - United States	DRIVE ORANGE
SIY	Aerosiyusa - Mexico	SIYUSA
SIZ	Aero Silza - Mexico	AEROSILZA
SJA	Servicios Aéreos Especiales De Jalisco - Mexico	SERVICIOJAL
SJC	Servicios Ejecutivos Continental - Mexico	SERVIEJECUTIVO
SJE	Sunair 2001 - South Africa	SUNBIZ
SJJ	Spirit Aviation - United States	SPIRIT JET
SJL	Servicios Especiales Del Pacifico Jalisco - Mexico	SERVICIOS JALISCO
SJM	Sino Jet Management - Hongkong,China	SINO SKY
SJN	Air San Juan - United States	SAN JUAN
SJO	Spring Airlines Japan - Japan	JEY SPRING
SJT	Swiss Jet - Switzerland	SWISS JET
SJX	Starlux Airlines - Taiwan	STARWALKER
SJY	Sriwijaya Air - Indonesia	SRIWIJAYA
SKA	Rio Air Express - Brazil	RIO EXPRESS
SKC	Skymaster Airlines - Brazil	SKYMASTER AIR
SKD	Sky Harbor Air Service - United States	SKY DAWG
SKE	Sky Tours - United States	SKYISLE
SKF	Skycraft - United States	SKYCRAFT
SKG	Skycraft Air Transport - Canada	SKYCRAFT-CANADA
SKH	British Sky Broadcasting - United Kingdom	SKYNEWS
SKI	SkyKing Turks and Caicos Airways - Turks and Caicos Islands	SKYKING
SKK	Skylink Aviation - Canada	SKYLINK
SKL	Skycharter (Malton) - Canada	SKYCHARTER
SKM	Fayetteville Flying Service and Scheduled Skyways System - United States	SKYTEM
SKN	Skyline Aviation Services - United States	SKYLINER
SKO	Scottish Airways Flyers - United Kingdom	SKYWORK
SKQ	Labcorp - United States	SKYLAB
SKR	Skyscapes Air Charters - South Africa	SKYSCAPES
SKS	Sky Service - Belgium	SKY SERVICE
SKT	SkyStar Airways - Thailand	SKY YOU
SKU	Sky Airline - Chile	AEROSKY
SKV	Sky Regional Airlines - Canada	MAPLE
SKX	Avia Express - Sweden	SKY EXPRESS
SKX	Skyways Express - Sweden	SKY EXPRESS
SKY	Skymark Airlines - Japan	SKYMARK
SKZ	Skyway Enterprises - United States	SKYWAY-INC
SLA	Sierra National Airlines - Sierra Leone	SELAIR
SLB	Slok Air - Nigeria	SLOK AIR
SLD	Silver Air - Czech Republic	SILVERLINE
SLE	Streamline - South Africa	SLIPSTREAM
SLF	Starfly - Italy	ELISTARFLY
SLG	Saskatchewan Government - Canada	LIFEGUARD
SLH	Silverhawk Aviation - United States	SILVERHAWK
SLI	Aerolitoral - Mexico	COSTERA
SLK	SilkAir - Singapore	SILKAIR
SLL	Slovak Airlines - Slovakia	SLOV LINE
SLM	Surinam Airways - Suriname	SURINAM
SLN	Sloane Aviation - United Kingdom	SLOANE
SLO	Edgartown Air - United States	SLOW
SLP	Salpa Aviation - Sudan	SALPA
SLS	Servicios Aéreos Slainte - Mexico	SERVICIOS SLAINTE
SLU	Avio Sluzba - Serbia	AVIO SLUZBA
SLV	Stella Aviation - Mauritania	AVISTELLA
SLW	Salama Airlines Nigeria - Nigeria	SALMA AIR
SLX	Sete Linhas Aéreas - Brazil	SETE
SLY	Sky Line for Air Services - Sudan	SKYCO
SLZ	Super Luza - Angola	LUZA
SMA	SMA Airlines - Nigeria	SESAME
SMC	Sabang Merauke Raya Air Charter - Indonesia	SAMER
SMD	Servicios Aéreos La Marquesa - Mexico	SERVICIOS MARQUESA
SME	Semos - Kazakhstan	SEMICH
SMF	Smalandsflyg - Sweden	GORDON
SMH	Smithair - United States	SMITHAIR
SMI	Aero Sami - Mexico	SAMI
SMJ	Avient Aviation - Zimbabwe	AVAVIA
SMK	Semeyavia - Kazakhstan	ERTIS
SML	Smith Air (1976) - Canada	SMITH AIR
SMM	Summit Airlines - United States	SUMMIT-AIR
SMQ	Samar Air - Tajikistan	SAMAR AIR
SMR	Somon Air - Tajikistan	SOMON AIR
SMS	Linhas Aéreas Santomenses - S?o Tomé and Príncipe	SANTOMENSES
SMT	Skyline - Nigeria	SKYLIMIT
SMU	Sanborn Map Company - United States	SPRINGER
SMW	Carpatair Flight Service - Romania	SMART WINGS
SMX	Alitalia Express - Italy	ALIEXPRESS
SMY	Sama Airlines - Saudi Arabia	NAJIM
SMZ	RAF Scampton - United Kingdom	SCAMPTON
SNA	Senator Aviation Charter - Germany	SENATOR
SNB	Sterling Airlines - Denmark	STERLING
SNC	Air Cargo Carriers - United States	NIGHT CARGO
SND	Air Samarkand - Uzbekistan	ARSAM
SNE	Servicios Aéreos De Nicaragua?(SANSA) - Nicaragua	SANSA
SNF	Shans Air - Russia	SHANS AIR
SNG	Longjiang Airlines - China	SNOW EAGLE/雪雕
SNH	Senair Services - Senegal	SENSERVICE
SNI	Savanah Airlines - Nigeria	SAVANAHLINE
SNJ	Skynet Asia Airways - Japan	NEWSKY
SNK	Southeast Airlines?(Sun Jet International) - United States	SPUTNIK
SNL	Soonair Lines - United States	SOONAIR
SNM	Servizi Aerei - Italy	SERVIZI AEREI
SNO	Delta Air Charter - Canada	SNOWBALL
SNP	Sun Pacific International - United States	SUN PACIFIC
SNQ	Sun Quest Executive Air Charter - United States	EXECU-QUEST
SNT	Suncoast Aviation - United States	SUNCOAST
SNV	Sudanese States Aviation - Sudan	SUDANESE
SNW	Sun West Airlines - United States	SUN WEST
SNX	Sun Air Aviation Services - Canada	SUNEX
SNY	Air Sandy - Canada	AIR SANDY
SOB	Stabo Freight - Zambia	STABO
SOD	Aerolíneas Sol - Mexico	ALSOL
SOE	Air Soleil - Mauritania	AIR SOLEIL
SOH	Southern Ohio Aviation Sales - United States	SOUTHERN OHIO
SOL	Solomon Airlines - Solomon Islands	SOLOMON
SOM	Somali Airlines - Somali Republic	SOMALAIR
SON	Sunshine Air Tours - United States	SUNSHINE TOURS
SOO	Southern Air - United States	SOUTHERN AIR
SOP	Solinair - Slovenia	SOLINAIR
SOR	Sonair Servico Aéreo - Angola	SONAIR
SOT	Southeast Correct Craft - United States	SOUTH COURIER
SOU	Southern Airways - United States	SOUTHERN EXPRESS
SOV	Saratov Airlines Joint Stock Company - Russia	SARATOV AIR
SOW	Sowind Air - Canada	SOWIND
SOX	Solid Air - Netherlands	SOLIDAIR
SOY	Island Aviation - Philippines	SORIANO
SOZ	Sat Airlines - Kazakhstan	SATCO
SPA	Sierra Pacific Airlines - United States	SIERRA PACIFIC
SPB	Springbok Classic Air - South Africa	SPRING CLASSIC
SPC	Skyworld Airlines - United States	PORT
SPE	Sprague Electric Company - United States	SPRAGUE
SPF	Space World Airline - Nigeria	SPACE WORLD
SPG	Springdale Air Service - United States	SPRING AIR
SPH	Sapphire Executive Air - South Africa	SAPPHIRE-CHARTER
SPI	South Pacific Island Airways - United States	SOUTH PACIFIC
SPJ	Air Service - Macedonia	AIR SKOPJE
SPK	Diamond Aviation - United States	SPARKLE
SPL	Servicios Corporativos Aéreos De La Laguna - Mexico	CORPORATIVOS LAGUNA
SPM	Air Saint Pierre - France	SAINT-PIERRE
SPN	Skorpion Air - Bulgaria	AIR SKORPIO
SPO	Aeroservicios Ejecutivos Del Pacifico - Mexico	EJECTUIV PACIFICO
SPP	Sapphire Aviation - United States	SAPPHIRE
SPQ	Servicios Aéreos Palenque - Mexico	SERVICOS PALENQUE
SPR	Provincial Airlines - Canada	SPEEDAIR
SPS	SPASA - Spain	SALDUERO
SPT	Speed Aviation - Bangladesh	SPEED AVIATION
SPU	Southeast Airmotive - United States	SPUTTER
SPV	Servicios Privados De Aviación - Mexico	SERVICIOS PRIVADOS
SPW	Speedwings - Switzerland	SPEEDWING
SPY	Asian Aerospace Service - Thailand	THAI SPACE
SPZ	Airworld - South Africa	SPEED SERVICE
SQA	Slovak National Aeroclub - Slovakia	SLOVAK AEROCLUB
SQC	Singapore Airlines Cargo - Singapore	SINGCARGO
SQF	Slovak Air Force - Slovakia	SLOVAK AIRFORCE
SQH	SeaPort Airlines - United States	SASQUATCH
SQL	Servicos De Alquiler - Mexico	ALQUILER
SRA	Sair Aviation - Canada	SAIR
SRC	Searca - Colombia	SEARCA
SRE	Fly Jetstream Aviation - South Africa	STREAMJET
SRF	Transportes Aéreos San Rafael - Chile	SAN RAFEAL
SRH	Siem Reap Airways - Cambodia	SIEMREAP AIR
SRI	Air Safaris and Services - New Zealand	AIRSAFARI
SRJ	C Air Jet Airlines - Syrian Arab Republic	SYRJET
SRK	Sky Work Airlines - Switzerland	SKYFOX
SRL	Servicios Aeronáuticos Aero Personal - Mexico	SERVICIOS PERSONAL
SRL	Swedline Express - Sweden	Starline
SRN	Sirair - Russia	SIRAIR
SRO	Servicios Aéreos Ejecutivos Saereo - Ecuador	SAEREO
SRP	Polizeihubschauberstaffel Rheinland-Pfalz - Germany	SPERBER
SRQ	South East Asian Airlines - Philippines	SEAIR
SRQ	Tigerair Philippines - Philippines	SEATIGER
SRR	Star Air - Denmark	WHITESTAR
SRS	Selkirk Remote Sensing - Canada	PHOTO CHARLIE
SRT	Trans Asian Airlines - Kazakhstan	TRASER
SRU	Star Up - Peru	STAR-UP
SRV	Aero Servicio Corporativo - Mexico	SERVICORP
SRW	Sarit Airlines - Sudan	SARIA
SRX	Sierra Expressway Airlines - United States	SIERRA EX
SRZ	Strato Air Services - South Africa	STRATO
SSB	Sasair - Canada	SASIR
SSC	Southern Seaplane - United States	SOUTHERN SKIES
SSD	Star Service International - France	STAR SERVICE
SSE	Servicios Aéreos Sunset - Mexico	SUNSET
SSF	Severstal Air Company - Russia	SEVERSTAL
SSG	Slovak Government Flying Service - Slovakia	SLOVAK GOVERNMENT
SSH	Heritage Flight?(Valley Air Services) - United States	SNOWSHOE
SSI	Vision Airlines - Nigeria	SUPER JET
SSK	Skystar International - United States	SKYSTAR
SSL	Air Sultan - Sierra Leone	SIERRA SULTAN
SSO	Special Scope Limited - United Kingdom	DOPE
SSP	Starspeed - United Kingdom	STARSPEED
SSQ	Sunstate Airlines - Australia	SUNSTATE
SSS	SAESA - Spain	SAESA
SST	Sunwest Airlines - Canada	SUNFLIGHT
SSU	SASCA - Venezuela	SASCA
SSW	Streamline Aviation - United Kingdom	STREAMLINE
SSY	Sky Aviation - Sierra Leone	SIERRA SKY
SSZ	Specsavers Aviation - United Kingdom	SPECSAVERS
STA	Star Aviation - United Kingdom	STAR
STB	Status-Alpha Airline - Ukraine	STATUS-ALPHA
STC	Stadium City Limited - United Kingdom	STADIUM
STD	Servicios De Aerotransportacion De Aguascalientes - Mexico	AERO AGUASCALINETES
STE	Semitool Europe - United Kingdom	SEMITRANS
STG	"Sedalia, Marshall, Boonville Stage Line" - United States	STAGE
STI	Sontair - Canada	SONTAIR
STJ	Sella Aviation - Netherlands	STELLAVIA
STK	Aeropac - United States	SAT PAK
STK	Stobart Air - Ireland	STOBART
STL	Stapleford Flight Centre - United Kingdom	STAPLEFORD
STN	RAF St Athan - United Kingdom	SAINT ATHAN
STO	Streamline Ops - Russia	SLOPS
STR	Red Star - United Arab Emirates	STARLINE
STT	Air St. Thomas - United States	PARADISE
STT	Alpha Star Charter - Saudi Arabia	STAR CHARTER
STU	Star African Air - Somali Republic	STARSOM
STV	Southern Aviation - Ghana	SOUTHERN AVIATION
STW	South West Air Corporation - Philippines	SIERRA WHISKEY
STX	Stars Away Aviation - South Africa	STARSAWAY
STY	Styrian Airways - Austria	STYRIAN
SUA	Silesia Air - Czech Republic	AIR SILESIA
SUB	Suburban Air Freight - United States	SUB AIR
SUD	Sudan Airways - Sudan	SUDANAIR
SUE	Aerolíneas Del Sureste - Mexico	AEROSURESTE
SUF	Sun Air (Fiji) - Fiji	SUNFLOWER
SUG	Sunu Air - Senegal	SUNU AIR
SUH	Sun Light - Kyrgyzstan	LIGHT AIR
SUI	Swiss Air Force - Switzerland	SWISS AIR FORCE
SUK	Superior Aviation Services - Kenya	SKYCARGO
SUM	State Unitary Air Enterprise - Russia	SUMES
SUO	Aeroservicios De San Luis - Mexico	SERVICIO SANLUIS
SUP	Aeronautical Charters - United States	SUN SPEED
SUP	Aerosuper - Mexico	AEROSUPER
SUS	Sun Air of Scandinavia - Denmark	SUNSCAN
SUT	Sistemas Aeronauuticos 2000 - Mexico	SISTEMAS AERONAUTICOS
SUU	Star West Aviation - United States	SUNSTAR
SUW	Interavia Airlines - Russia	ASTAIR
SUY	Aerial Surveys (1980) Limited - New Zealand	SURVEY
SVA	Saudia - Saudi Arabia	SAUDIA
SVB	Siavia - Slovenia	SIAVIA
SVD	St. Vincent Grenadines Air (1990) - Saint Vincent and the Grenadines	GRENADINES
SVE	Aero Servicios Expecializados - Mexico	AEROESPECIAL
SVF	Swedish Armed Forces - Sweden	SWEDEFORCE
SVH	Sterling Helicopters - United Kingdom	SILVER
SVI	Servicios De Transporte Aéreo - Mexico	SETRA
SVL	Sevastopol-Avia - Ukraine	SEVAVIA
SVM	Aeroservicios Monterrey - Mexico	SERVIMONTE
SVN	Savanair (Angola) - Angola	SAVANAIR
SVO	Servicios Aeronáuticos De Oriente - Mexico	SERVIORIENTE
SVR	Ural Airlines - Russia	SVERDLOVSK AIR
SVS	Servicios Aéreos Saar - Mexico	AEREOS SAAR
SVT	Seven Four Eight Air Services - Luxembourg	SIERRA SERVICES
SVV	SALTAVIATION - Poland	SALT
SVW	Global Jet Luxembourg - Luxembourg	SILVER ARROWS
SVX	Security Aviation - United States	SECURITY AIR
SVY	Cooper Aerial Surveys - United Kingdom	SURVEYOR
SWA	Southwest Airlines - United States	SOUTHWEST
SWB	Swissboogie Parapro - Switzerland	SWISSBOOGIE
SWC	South West Air - Canada	SAINT CLAIR
SWD	Southern Winds Airlines - Argentina	SOUTHERN WINDS
SWD	Trifly - United States	SAWBLADE
SWE	Swedeways - Sweden	SWEDELINE
SWF	Galair International - United Kingdom	GALAIR
SWG	Sunwing Airlines - Canada	SUNWING
SWH	Adler Aviation - Canada	SHOCKWAVE
SWI	Sunworld Airlines - United States	SUNWORLD
SWJ	StatesWest Airlines - United States	STATES
SWK	General Aerospace - Canada	SKYWALKER
SWL	Trans Jet Airways - Sweden	TRANSJET
SWN	West Air Sweden - Sweden	AIR SWEDEN
SWO	Surinam International Victory Airline - Suriname	SIVA
SWP	Star Work Sky - Italy	STAR WORK
SWQ	Swift Air?(Interstate Equipment Leasing) - United States	SWIFTFLIGHT
SWR	Swiss International Air Lines - Switzerland	SWISS
SWS	Sunwest Aviation?(Lindquist Investment) - United States	SUNNY WEST
SWT	Swiftair - Spain	SWIFT
SWU	Swiss European Air Lines - Switzerland	EUROSWISS
SWV	Swe Fly - Sweden	FLYING SWEDE
SWW	Shovkoviy Shlyah - Ukraine	WAY AERO
SWX	Swazi Express Airways - Swaziland	SWAZI EXPRESS
SWY	Sky Jet - Switzerland	SWISSLINK
SWZ	"Servair, Private Charter" - Switzerland	SWISSBIRD
SWZ	Skywise Airline - South Africa	SKYWISE
SXA	Southern Cross Aviation - United States	FERRY
SXC	Sky Exec Aviation Services - Nigeria	SKY EXEC
SXE	Southeast Express Airlines - United States	DOGWOOD EXPRESS
SXM	Servicios Aéreos Especializados Mexicanos - Mexico	SERVIMEX
SXS	SunExpress - Turkey	SUNEXPRESS
SXT	Servicios De Taxi Aéreo - Mexico	SERTA
SXT	Servicios de Taxi Aereos - Mexico	SERTAXI
SXX	Satellite Aero - United States	SATELLITE EXPRESS
SXY	Safari Express Cargo - Kenya	SAFARI EXPRESS
SYA	Skyways - Argentina	LINEAS CARDINAL
SYC	Systec 2000 - United States	SYSTEC
SYF	Sky One Express Airlines - United States	SKY FIRST
SYG	Synergy Aviation - United Kingdom	SYNERGY
SYK	Satsair - United States	AEROCAB
SYL	Aircompany Yakutia - Russia	AIR YAKUTIA
SYL	Yakutia Airlines - Russia	AIR YAKUTIA
SYN	Syncrude Canada - Canada	SYNCRUDE
SYR	Syrian Arab Airlines - Syrian Arab Republic	SYRIANAIR
SYS	Shawbury Flying Training Unit - United Kingdom	SHAWBURY
SYT	Aerosud Aviation - South Africa	SKYTRACK
SYV	Special Aviation Systems - United States	SPECIAL SYSTEM
SYX	Skywalk Airlines - United States	SKYWAY-EX
SYY	South African Historic Flight - South Africa	SKY COACH
SYZ	Zil Air - Seychelles	ZIL AIR
SZB	Samoa Air - Samoa	SAMOA
SZT	Servicios Aeronáuticos Z - Mexico	AERO ZEE
TAA	Aeroservicios de La Costa - Mexico	AERO COSTA
TAC	Turbot Air Cargo - Senegal	TURBOT
TAD	Transporte Aéreo Dominicano - Dominican Republic	TRANS DOMINICAN
TAE	TAME - Ecuador	TAME
TAG	TAG Aviation USA - United States	TAG U-S
TAJ	Tunisavia - Tunisia	TUNISAVIA
TAL	Talair - Papua New Guinea	TALAIR
TAM	LATAM Brasil - Brazil	TAM
TAN	Zanair - Tanzania	ZANAIR
TAO	Aeromar - Mexico	TRANS-AEROMAR
TAP	TAP Portugal - Portugal	AIR PORTUGAL
TAR	Tunisair - Tunisia	TUNAIR
TAS	Lotus Air - Egypt	LOTUS FLOWER
TAT	Grupo TACA - Costa Rica	TACA-COSTARICA
TAU	Transportes Aéreos Tauro - Mexico	TRANSTAURO
TAV	Compa?ía de Servicios Aéreos Tavisa - Spain	TAVISA
TAX	Thai Airasia X - Thailand	EXPRESS WING
TAX	Travel Air - Germany	TRAVELAIR
TAY	TNT Airways - Belgium	QUALITY
TBA	Tibet Airlines - China	TIBET/西藏
TBD	Thunderbird Tours - Canada	ORCA
TBI	TAB Express International - United States	TAB INTERNATIONAL
TBL	Aerotrebol - Mexico	AEROTREBOL
TBL	Bell Aliant Regional Communications - Canada	TELCO
TBM	Taban Air Lines - Iran	TABAN AIR
TBN	Teebah Airlines - Sierra Leone	TEEBAH
TBO	Aero Taxi de Los Cabos - Mexico	AERO CABOS
TBR	Tubelair - Tunisia	TUBELAIR
TBS	Servicios Aéreos Tribasa - Mexico	TRIBASA
TBX	Tobago Express - Trinidad and Tobago	TABEX
TCA	Tropican Air Services - Egypt	TROPICANA
TCB	Transporte Aereo De Colombia - Colombia	AERO COLOMBIA
TCB	Transporte del Caribe - Colombia	TRANSCARIBE
TCC	Trans Continental Airlines - Sudan	TRANSCAL
TCD	Tchad Airlines - Chad	TCHADLINES
TCE	Trans-Colorado Airlines - United States	TRANS-COLORADO
TCF	Shuttle America - United States	MERCURY
TCG	Thai Air Cargo - Thailand	THAI CARGO
TCG	Transafricaine Air Cargo - Burkina Faso	AFRICARGO
TCH	Transcontinental Air - Bahrain	TRANS GULF
TCL	Coastal Air Transport - United States	TRANS COASTAL
TCM	Teledyne Continental Motors - United States	TELEDYNE
TCO	Aerotranscolombina de Carga - Colombia	TRANSCOLOMBIA
TCP	Transcorp Airways - United Kingdom	TRANSCORP
TCR	Lanaes Aereas Trans Costa Rica - Costa Rica	TICOS
TCT	Transcontinental Sur - Uruguay	TRANS-CONT
TCU	Transglobal Airways Corporation - Philippines	TRANSGLOBAL
TCV	TACV - Cape Verde	CABOVERDE
TCW	Thomas Cook Airlines - Belgium	THOMAS COOK
TCY	Twin Cities Air Service - United States	TWIN CITY
TDA	Trend Aviation - United States	TREND AIR
TDB	Welch Aviation - United States	THUNDER BAY
TDC	Tadair - Spa	TADAIR
TDE	Tellavia /?Flight One - United States	TELLURIDE
TDG	Air Cargo Express - United States	TURBO DOG
TDI	Transportes Aéreos de Ixtlán - Mexico	TRANSIXTLAN
TDM	Tandem Aero - Moldova	TANDEM
TDO	TRADO - Dominican Republic	TRADO
TDR	Trade Air - Croatia	TRADEAIR
TDT	Atlas Helicopters - United Kingdom	TRIDENT
TDV	Taxi Aero Nacional Del Evora - Mexico	TAXI EVORA
TDX	Tradewinds Airlines - United States	TRADEWINDS EXPRESS
TDY	Air Today - United States	AIR TODAY
TEA	Executive Turbine Aviation - South Africa	TRAVELMAX
TEB	Tenir Airlines - Kyrgyzstan	TENIR AIR
TEC	ADI Shuttle Group - United States	TECHJET
TED	Aero Servicios Azteca - Mexico	AEROAZTECA
TEE	West Freugh DTEO - United Kingdom	TEEBIRD
TEF	Tecnicas Fotograficas - Spain	TECFOTO
TEH	Tempelhof Airways - United States	TEMPELHOF
TEL	Telford Aviation - United States	TELFORD
TEM	Tech-Mont Helicopter Company - Slovakia	TECHMONT
TEN	Tennessee Airways - United States	TENNESSEE
TEP	Transeuropean Airlines - Russia	TRANSEURLINE
TER	Territorial Airlines - United States	TERRI-AIRE
TES	TAES?Transportes Aéreos de El Salvador - El Salvador	TAES
TET	Tepavia-Trans Airlines - Moldova	TEPAVIA
TEW	Airteam Charter - South Africa	TEAMWORK
TEX	Catex - France	CATEX
TFA	Trans-Florida Airlines - United States	TRANS FLORIDA
TFB	Tair Airways - Philippines	ROYAL TEE-AIR
TFF	Talon Air - United States	TALON FLIGHT
TFG	MAS Airways - United Kingdom	TRAFALGAR
TFH	Thai Flying Helicopter Service - Thailand	THAI HELICOPTER
TFL	Arkefly - Netherlands	ARKEFLY
TFN	Norwegian Aviation College - Norway	SPIRIT
TFO	Transportes Aéreos del Pacífico - Mexico	TRANSPORTES PACIFICO
TFT	Thai Flying Service - Thailand	THAI FLYING
TFY	Tayside Aviation - United Kingdom	TAYSIDE
TGC	TG Aviation - United Kingdom	THANET
TGE	Trabajos Aéreos - Spain	TASA
TGI	Transportes Aéreos Regionales - Mexico	TRANSPORTE REGIONAL
TGM	TAG Aviation Espana - Spain	TAG ESPANA
TGN	Trigana Air Service - Indonesia	TRIGANA
TGO	Transport Canada - Canada	TRANSPORT
TGT	SAAB Nyge Aero - Sweden	TARGET
TGW	Scoot Tigerair - Australia	SCOOTER
TGX	Transair Gabon - Gabon	TRANSGABON
TGY	Trans Guyana Airways - Guyana	TRANS GUYANA
TGZ	Georgian Airways - Georgia	TAMAZI
THA	Thai Airways International - Thailand	THAI
THB	Spark Air - Thailand	THAI SABAI
THC	Tar Heel Aviation - United States	TARHEEL
THD	Thai Smile Airways - Thailand	THAI SMILE
THE	Toumai Air Tchad - Chad	TOUMAI AIR
THF	Touraine Helicoptere - France	TOURAINE HELICO
THG	Thai Global Airline - Thailand	THAI GLOBAL
THJ	Thai Jet Intergroup - Thailand	THAI JET
THK	Turk Hava Kurumu Hava Taksi Isletmesi - Turkey	HUR KUS
THM	Airmark Aviation - Thailand	THAI AIRMARK
THN	International Security Assistance Force - Canada	ATHENA
THO	TACA De Honduras - Honduras	LEMPIRA
THR	Tehran Airline - Iran	TEHRAN AIR
THS	Turkish Aerospace Industries - Turkey	TUSAS
THT	Air Tahiti Nui - France	TAHITI AIRLINES
THU	Thunder Airlines - Canada	AIR THUNDER
THY	Turkish Airlines - Turkey	TURKISH
THZ	Trans Helicoptere Service - France	LYON HELIJET
TIA	Trans International Airlines - United States	TRANS INTERNATIONAL
TIB	TRIP Linhas Aéreas - Brazil	TRIP
TIC	Travel International Air Charters - Zambia	TRAVEL INTERNATIONAL
TIE	Time Air - Czech Republic	TIME AIR
TIH	S C Ion Tiriac - Romania	TIRIAC AIR
TIK	Tic Air - Australia	TICAIR
TIM	TEAM Linhas Aéreas - Brazil	TEAM BRASIL
TIN	Taino Tours - Dominican Republic	TAINO
TIP	C and M Aviation - United States	TRANSPAC
TIR	Antair - Mexico	ANTAIR
TIS	Tesis - Russia	TESIS
TIW	Transcarga Intl Airways - Venezuela	TIACA
TJK	Tajikair - Tajikistan	TAJIKAIR
TJN	Tien-Shan - Kazakhstan	NERON
TJS	Tyrolean Jet Services - Austria	TYROLJET
TJT	Twin Jet - France	TWINJET
TKC	Tikal Jets Airlines - Guatemala	TIKAL
TKE	Take Air Line - France	ISLAND BIRD
TKJ	Tarkim Aviation - Turkey	TARKIM AVIATION
TKX	Tropical International Airways - Saint Kitts and Nevis	TROPEXPRESS
TKY	Thai Sky Airlines - Thailand	THAI SKY
TLA	Translift Airways - Ireland	TRANSLIFT
TLB	Atlantique Air Assistance - France	TRIPLE-A
TLC	Caribbean Express - United States	CARIB-X
TLD	Aereo Taxi Autlan - Mexico	AEREO AUTLAN
TLE	Aero Util - Mexico	AEROUTIL
TLF	Transport Africa - Sierra Leone	TRANS-LEONE
